Feature,Importance
num__Max Power,0.6238056035893677
num__Fuel Tank Capacity,0.07140590959088872
num__Year,0.04279290117561516
num__Car Age,0.04191250837850197
num__Width,0.04025945660466985
num__Length,0.03997996475974139
num__Kilometer,0.02921296658452794
num__Max Torque,0.016560111053618196
num__Engine,0.013524060511578121
num__Height,0.010963320301065137
cat__Model_Range Rover 3.0 V6 Diesel Vogue,0.007344014076693448
cat__Fuel Type_Hybrid,0.004181970151185537
cat__Model_Vellfire Hybrid,0.004039781523898
cat__Model_S-Class S 450,0.0027141276701595986
cat__Model_Range Rover 3.0 V6 Diesel Vogue LWB,0.0026236164320058283
cat__Brand_Mercedes-Benz,0.0023229852203229128
cat__Model_E-Class 200,0.0022727115075971897
cat__Make_Mercedes-Benz,0.0022448289244949853
cat__Transmission_Manual,0.002231762395986275
cat__Make_Porsche,0.0019745833951874806
cat__Brand_Porsche,0.001881878292995016
cat__Transmission_Automatic,0.0018340858061148056
num__Seating Capacity,0.0017081232445307762
cat__Location_Mumbai,0.001464550692577148
cat__Color_White,0.0012964210928995596
cat__Make_Land Rover,0.0010908727716290095
cat__Location_Hyderabad,0.0010373298272184468
cat__Brand_Land Rover,0.0009266101647523255
cat__Owner_Unregistered Car,0.0009028963402720659
cat__Color_Blue,0.0008892989603303751
cat__Model_S-Class Maybach S 500,0.0008169650421118006
cat__Location_Delhi,0.0007553013448644897
cat__Model_GLC 220 d Sport,0.0006876435483668474
cat__Drivetrain_Awd,0.0006699307156769267
cat__Fuel Type_Diesel,0.0006683706457045725
cat__Color_Black,0.0006291413452985975
cat__Model_Huracan LP 610-4,0.0006238154627552644
cat__Model_Panamera 3.0 Diesel,0.0006233117557580973
cat__Owner_First,0.0006065997360543102
cat__Drivetrain_Rwd,0.0005920875496410569
cat__Make_Rolls-Royce,0.0005740952540700169
cat__Owner_Second,0.0005646910802756231
cat__Model_Cayenne Coupe Platinum Edition,0.0004994566750660343
cat__Brand_Jaguar,0.0004766575249180801
cat__Make_MINI,0.0004603076674394368
cat__Color_Silver,0.0004522862255392178
cat__Make_Jaguar,0.0004244423231450576
cat__Brand_Rolls-Royce,0.00040250343111486616
cat__Brand_Audi,0.00040086870549119424
cat__Model_GLE 300d 4MATIC LWB,0.00040010058319133086
cat__Model_Q5 35 TDI Premium Plus,0.00039185788886052415
cat__Location_Bangalore,0.0003884529271233694
cat__Make_Audi,0.000368916358604164
cat__Brand_MINI,0.0003578925765848956
cat__Drivetrain_Fwd,0.0003111739730024462
cat__Model_Discovery 3.0 TDV6 HSE,0.00029198082830872625
cat__Location_Pune,0.00028644549718464526
cat__Model_Commuter HiAce 3.0 L,0.00026293090762214213
cat__Model_GLC 220 d Progressive,0.00025941377638645014
cat__Fuel Type_Petrol,0.0002443363969152397
cat__Color_Grey,0.00024060948172184712
cat__Location_Chennai,0.00023962407305982622
cat__Model_Macan Base [2019-2020],0.00021721703008208585
cat__Brand_BMW,0.00021693768724650883
cat__Model_A6 2.0 TFSi Technology Pack,0.00019923553731560762
cat__Color_Red,0.00018766162523356196
cat__Make_Hyundai,0.00017792999012756325
cat__Model_Cayenne Turbo,0.00017113817221248252
cat__Make_BMW,0.0001694206933717222
cat__Make_Lamborghini,0.00016775671598166198
cat__Seller Type_Individual,0.00016703340089195697
cat__Seller Type_Corporate,0.00016172861478424484
cat__Owner_Third,0.0001608982878545465
cat__Model_Range Rover Sport SDV6 SE,0.00015672058921857687
cat__Location_Ahmedabad,0.00014475252032789739
cat__Brand_Hyundai,0.00014277436536626076
cat__Model_Evoque SE Dynamic,0.0001368607702969429
cat__Model_X3 xDrive 20d Luxury Line [2018-2020],0.00013426261255635068
cat__Model_S-Class S 500,0.00011535964955256471
cat__Location_Ludhiana,0.00011177608875682669
cat__Brand_Lamborghini,0.0001081910843918295
cat__Model_Ghost 6.5,0.00010805671822243878
cat__Model_E-Class E 220d Exclusive [2019-2019],0.00010756682196870213
cat__Model_Cooper D 3 Door,0.00010730540237560564
cat__Model_Cayenne 3.2 V6 Petrol,0.00010554599503349971
cat__Model_Ghost Extended Wheelbase,0.00010374225552538779
cat__Location_Dehradun,0.00010197610934255224
cat__Brand_Ford,0.00010162325244536752
cat__Model_X5 xDrive30d xLine,0.00010001444891851274
cat__Location_Gurgaon,9.856142385990843e-05
cat__Location_Faridabad,9.841033068189447e-05
cat__Model_3-Series 320d Prestige,9.567322601113833e-05
cat__Model_5-Series 520d Luxury Line [2017-2019],9.503465120807473e-05
cat__Model_Range Rover Velar 2.0 S Petrol 250,9.498075974583196e-05
cat__Model_Discovery Sport S,9.101652837727083e-05
cat__Make_MG,9.050843569247957e-05
cat__Make_Tata,8.97890978473218e-05
cat__Model_Range Rover Sport SE 2.0 Petrol,8.520365029934194e-05
cat__Location_Chandigarh,8.39323219680565e-05
cat__Make_Ford,8.357138943318964e-05
cat__Model_S-Class Maybach S 560,7.829566952934739e-05
cat__Brand_MG,7.76927243251903e-05
cat__Color_Brown,7.691734290696522e-05
cat__Location_Mohali,7.377589644664726e-05
cat__Model_GLA 200 d Sport,7.336853568144307e-05
cat__Model_S-Class S 350 CDI,7.307988391881067e-05
cat__Location_Noida,7.28290062299758e-05
cat__Location_Kolkata,7.204767132627507e-05
cat__Model_GLC 220d 4MATIC Progressive,7.108809070263798e-05
cat__Model_Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,7.090014632897541e-05
cat__Model_Santa Fe 2WD AT [2014-2017],6.99259634216717e-05
cat__Brand_Mahindra,6.731567199048642e-05
cat__Make_Skoda,6.72123392977566e-05
cat__Brand_Skoda,6.674403309205287e-05
cat__Model_C-Class C 43 AMG,6.551607962443914e-05
cat__Model_Kodiaq L&K 2.0 TDI 4x4 AT,6.524803100403e-05
cat__Make_Toyota,6.134186616197077e-05
cat__Model_C-Class C200 Progressive,5.6336577243613956e-05
cat__Model_F-Pace Prestige,5.5234290251194004e-05
cat__Make_Lexus,5.282552430299795e-05
cat__Brand_Tata,5.167677695187699e-05
cat__Model_XF 3.0 V6 Premium Luxury,5.111162695784924e-05
cat__Make_Mahindra,5.0845641484754454e-05
cat__Model_GLS 400 4MATIC,4.957631583989492e-05
cat__Model_A4 30 TFSI Premium Plus,4.745666774105079e-05
cat__Model_GLE 250 d,4.679995026432344e-05
cat__Brand_Toyota,4.42721487597241e-05
cat__Model_Range Rover Sport SDV6 HSE,4.416017302341659e-05
cat__Model_GLE 350 d,4.388341016877573e-05
cat__Model_GLS 350 d,4.387360488889299e-05
cat__Model_3-Series 330i M Sport Edition,4.278784630068337e-05
cat__Color_Green,3.906572650083212e-05
cat__Brand_Lexus,3.8691814440521615e-05
cat__Model_E-Class E 220d Expression [2019-2019],3.747940755140486e-05
cat__Brand_Chevrolet,3.6363375597500114e-05
cat__Model_X6 xDrive40i M Sport,3.5722131482248775e-05
cat__Location_Navi Mumbai,3.563662862043307e-05
cat__Model_V-Class Elite LWB,3.426003673052411e-05
cat__Model_E-Class E 220 d Avantgarde,3.152801661009788e-05
cat__Make_Chevrolet,3.108157321391619e-05
cat__Model_TT 2.0 TFSI Quattro,3.079999681623017e-05
cat__Model_X1 sDrive20d xLine,3.0302008976787445e-05
cat__Model_Q7 45 TDI Premium Plus,2.996358453841557e-05
cat__Location_Lucknow,2.9773719976471712e-05
cat__Model_Innova 2.4 ZX 7 STR [2016-2020],2.8232596417145438e-05
cat__Model_5-Series 530d M Sport,2.8113568077504193e-05
cat__Model_C-Class C 200 Progressive [2018-2020],2.7615087616053653e-05
cat__Model_Discovery Sport SE R-Dynamic Petrol,2.6192936995524663e-05
